word1,word2,human_score,glove_score,bert_score
psychology,clinic,6.58,5.99130916595459,7.812345921993256
psychology,doctor,6.42,6.343029499053955,7.992787957191467
psychology,Freud,8.21,5.0,8.41855764389038
psychology,mind,7.69,6.580313682556152,8.690379858016968
psychology,health,7.23,6.194268226623535,8.11026155948639
psychology,science,6.71,7.842235088348389,8.52100670337677
psychology,discipline,5.58,6.401439189910889,8.106252551078796
psychology,cognition,7.48,7.206063747406006,8.74694436788559
planet,star,8.45,6.867304801940918,8.313978910446167
planet,constellation,8.06,6.637895584106445,8.174197971820831
planet,moon,8.08,7.481817722320557,8.47934365272522
planet,sun,8.02,6.890687942504883,8.40829610824585
planet,galaxy,8.11,7.285816669464111,8.261226415634155
planet,space,7.92,7.096609592437744,8.628437519073486
planet,astronomer,7.94,6.435435771942139,8.191572427749634
precedent,example,5.85,6.524834632873535,8.372142314910889
precedent,information,3.85,5.720330238342285,7.587634325027466
precedent,cognition,2.81,5.244512557983398,7.535939514636993
precedent,law,6.65,6.866023063659668,8.220961689949036
precedent,collection,2.5,5.420758247375488,7.684572339057922
precedent,group,1.77,5.086263656616211,7.548468112945557
precedent,antecedent,6.04,5.876804351806641,8.22988212108612
cup,coffee,6.58,6.154690265655518,8.426059186458588
cup,tableware,6.85,4.759678363800049,8.232532739639282
cup,article,2.4,5.346621513366699,7.804322838783264
cup,artifact,2.92,4.464711666107178,8.117804229259491
cup,object,3.69,5.00419807434082,8.197289407253265
cup,entity,2.15,5.00408411026001,7.876977324485779
cup,drink,7.25,6.250551223754883,8.375191688537598
cup,food,5.0,5.536351203918457,7.836415767669678
cup,substance,1.92,5.298546314239502,7.808142900466919
cup,liquid,5.9,5.864424705505371,8.289687633514404
jaguar,cat,7.42,6.010573387145996,8.512661159038544
jaguar,car,7.27,6.950821876525879,8.527116775512695
energy,secretary,1.81,6.304418087005615,7.469298988580704
secretary,senate,5.06,6.755875110626221,8.137181997299194
energy,laboratory,5.09,6.277737617492676,7.848918437957764
computer,laboratory,6.78,6.860307693481445,7.987483739852905
weapon,secret,6.06,6.690661430358887,8.005729913711548
FBI,fingerprint,6.94,5.0,7.979490160942078
FBI,investigation,8.31,5.0,8.366127908229828
investigation,effort,4.59,6.903432846069336,8.000324368476868
Mars,water,2.94,5.0,8.147802948951721
Mars,scientist,5.63,5.0,7.928828597068787
news,report,8.16,7.67506742477417,7.638450860977173
canyon,landscape,7.53,5.937591552734375,8.514952063560486
image,surface,4.56,6.144749164581299,8.176935613155365
discovery,space,6.34,7.283721446990967,8.187030553817749
water,seepage,6.56,6.591220855712891,8.188683092594147
sign,recess,2.38,5.46075439453125,7.648548185825348
Wednesday,news,2.22,5.0,7.487858235836029
mile,kilometer,8.66,8.829572677612305,9.256491661071777
computer,news,4.47,6.148500919342041,7.322425693273544
territory,surface,5.34,5.957802772521973,7.990705668926239
atmosphere,landscape,3.69,6.364325523376465,8.227030634880066
president,medal,3.0,5.803254127502441,7.981186509132385
war,troops,8.13,7.571126937866211,8.464630842208862
record,number,6.31,6.680095672607422,8.074878752231598
skin,eye,6.22,7.440837860107422,8.25413465499878
Japanese,American,6.5,5.0,8.059663474559784
theater,history,3.91,6.410854816436768,7.678566575050354
volunteer,motto,2.56,6.1098103523254395,7.369012534618378
prejudice,recognition,3.0,5.689821720123291,7.5775545835494995
decoration,valor,5.63,7.239138603210449,7.548902332782745
century,year,7.59,6.651656150817871,8.335558772087097
century,nation,3.16,6.5697503089904785,8.027204275131226
delay,racism,1.19,5.435358047485352,7.603937089443207
delay,news,3.31,6.008519649505615,7.523727118968964
minister,party,6.63,7.033761024475098,7.995821833610535
peace,plan,4.75,7.136683464050293,7.975752353668213
minority,peace,3.69,6.0140204429626465,7.502107620239258
attempt,peace,4.25,6.464810371398926,7.582670450210571
government,crisis,6.56,7.2214508056640625,7.934490144252777
deployment,departure,4.25,6.651980876922607,7.997521162033081
deployment,withdrawal,5.88,7.7735137939453125,7.614107131958008
energy,crisis,5.94,6.709228038787842,7.857165634632111
announcement,news,7.56,7.380003929138184,8.134397864341736
announcement,effort,2.75,6.615530490875244,7.9543983936309814
stroke,hospital,7.03,6.457651615142822,8.003844320774078
disability,death,5.47,6.235991477966309,7.978571057319641
victim,emergency,6.47,6.006340980529785,8.04720014333725
treatment,recovery,7.91,6.412384510040283,8.701694309711456
journal,association,4.97,6.60205078125,7.838301956653595
doctor,personnel,5.0,5.809796333312988,7.986387014389038
doctor,liability,5.19,5.3774847984313965,7.614274621009827
liability,insurance,7.03,7.670296669006348,8.46766710281372
school,center,3.44,6.666550636291504,8.11491072177887
reason,hypertension,2.31,5.383087158203125,7.907823920249939
reason,criterion,5.91,5.882918834686279,8.412889838218689
hundred,percent,7.38,5.93566370010376,8.20577621459961
Harvard,Yale,8.13,5.0,8.751184642314911
hospital,infrastructure,4.63,5.522768020629883,8.074285089969635
death,row,5.25,6.390228748321533,7.754296064376831
death,inmate,5.03,7.067391395568848,7.92152464389801
lawyer,evidence,6.69,6.429903030395508,7.845780849456787
life,death,7.88,7.616160869598389,8.760541677474976
life,term,4.5,6.846603870391846,7.87264883518219
word,similarity,4.75,6.236804962158203,8.072698712348938
board,recommendation,4.47,7.12779426574707,7.638534605503082
governor,interview,3.25,6.346447467803955,7.554479539394379
OPEC,country,5.63,5.0,7.849639356136322
peace,atmosphere,3.69,6.204531192779541,7.929347455501556
peace,insurance,2.94,5.492537498474121,7.683476805686951
territory,kilometer,5.28,6.46175479888916,8.122533559799194
travel,activity,5.0,6.499286651611328,8.242303729057312
competition,price,6.44,6.627678394317627,7.778613567352295
consumer,confidence,4.13,7.270686149597168,7.5148797035217285
consumer,energy,4.75,6.996090888977051,7.8570497035980225
problem,airport,2.38,5.964806079864502,7.459888756275177
car,flight,4.94,6.055834770202637,8.149353861808777
credit,card,8.06,7.879695892333984,8.58691781759262
credit,information,5.31,6.546712875366211,7.9831331968307495
hotel,reservation,8.03,6.488439559936523,8.151229918003082
grocery,money,5.94,5.972408294677734,7.91096031665802
registration,arrangement,6.0,5.78997802734375,8.124344646930695
arrangement,accommodation,5.41,6.569788932800293,8.13779354095459
month,hotel,1.81,6.387018203735352,7.511546611785889
type,kind,8.97,7.919502258300781,8.96867573261261
arrival,hotel,6.0,6.414475917816162,7.950434982776642
bed,closet,6.72,7.00269079208374,8.184656500816345
closet,clothes,8.0,7.025312423706055,8.71559739112854
situation,conclusion,4.81,6.651356220245361,8.10118854045868
situation,isolation,3.88,6.529848575592041,7.9985737800598145
impartiality,interest,5.16,5.291862964630127,7.277717888355255
direction,combination,2.25,6.119917392730713,7.861311435699463
street,place,6.44,6.680898666381836,8.382644653320312
street,avenue,8.88,8.154581069946289,8.868843019008636
street,block,6.88,6.737318515777588,8.146876692771912
street,children,4.94,6.113380432128906,7.5346750020980835
listing,proximity,2.56,5.354382514953613,7.492921948432922
listing,category,6.38,6.396518707275391,8.064067363739014
cell,phone,7.81,7.702348232269287,8.215567469596863
production,hike,1.75,5.874976634979248,6.879512965679169
benchmark,index,4.25,8.32932186126709,7.537069916725159
media,trading,3.88,5.964405536651611,7.394008934497833
media,gain,2.88,6.324868202209473,7.557770907878876
dividend,payment,7.63,7.350770473480225,7.856930196285248
dividend,calculation,6.48,5.960254192352295,8.071464896202087
calculation,computation,8.44,7.583193778991699,8.78871351480484
currency,market,7.5,7.571125030517578,8.454101085662842
OPEC,oil,8.59,5.0,8.736247718334198
oil,stock,6.34,6.709144592285156,8.25796663761139
announcement,production,3.38,6.004263401031494,7.91179358959198
announcement,warning,6.0,7.119062423706055,8.076688051223755
profit,warning,3.88,6.351561546325684,7.608740329742432
profit,loss,7.63,7.337728500366211,8.240865468978882
dollar,yen,7.78,8.20048713684082,9.27537977695465
dollar,buck,9.22,5.656537055969238,8.170360326766968
dollar,profit,7.38,6.984226703643799,8.281521499156952
dollar,loss,6.09,6.343965530395508,8.118611574172974
computer,software,8.5,8.66720962524414,8.551545143127441
network,hardware,8.31,6.452254295349121,8.104333579540253
phone,equipment,7.13,6.781822681427002,8.269025087356567
equipment,maker,5.91,7.279210090637207,7.882455587387085
luxury,car,6.47,7.360357761383057,8.040900826454163
five,month,3.38,8.09355354309082,7.761143743991852
report,gain,3.63,6.308640480041504,7.847816646099091
investor,earning,7.13,5.648016929626465,8.424782156944275
liquid,water,7.89,7.346231460571289,8.823827505111694
baseball,season,5.97,7.169576644897461,7.908206582069397
game,victory,7.03,7.121058464050293,8.354758620262146
game,team,7.69,7.624352931976318,8.242081999778748
marathon,sprint,7.47,6.924037933349609,7.888367772102356
game,series,6.19,7.271566867828369,8.517757654190063
game,defeat,6.97,6.8361921310424805,8.189638257026672
seven,series,3.56,7.0481858253479,8.048430383205414
seafood,sea,7.47,6.205456733703613,8.212351202964783
seafood,food,8.34,7.406192302703857,8.704562485218048
seafood,lobster,8.7,7.986447811126709,8.745522797107697
lobster,food,7.81,6.1639204025268555,8.062134385108948
lobster,wine,5.7,6.442794322967529,7.613039314746857
food,preparation,6.22,6.570235252380371,8.046096861362457
video,archive,6.34,6.730324745178223,7.75428980588913
start,year,4.06,7.895923614501953,7.866051495075226
start,match,4.47,7.040886878967285,8.012606501579285
game,round,5.97,6.982489585876465,8.342512249946594
boxing,round,7.61,6.2999444007873535,8.031458258628845
championship,tournament,8.36,8.588248252868652,8.955906331539154
fighting,defeating,7.41,6.339784145355225,8.506116569042206
line,insurance,2.69,5.893980026245117,7.556484639644623
day,summer,3.94,7.375685691833496,8.264176845550537
summer,drought,7.16,6.6222639083862305,8.08372974395752
summer,nature,5.63,5.985176086425781,8.41818392276764
day,dawn,7.53,6.943371772766113,8.361209034919739
nature,environment,8.31,7.304759502410889,8.888189196586609
environment,ecology,8.81,7.636714935302734,8.745750784873962
nature,man,6.25,6.689780235290527,7.996270656585693
man,woman,8.3,8.499332427978516,8.068322539329529
man,governor,5.25,6.265497207641602,7.568582594394684
murder,manslaughter,8.53,7.87066125869751,9.189092814922333
soap,opera,7.94,7.346331596374512,7.961291670799255
opera,performance,6.88,6.950854778289795,8.123832643032074
life,lesson,5.94,6.368736267089844,8.043615221977234
focus,life,4.06,6.879801273345947,8.04003119468689
production,crew,6.25,5.958957195281982,8.441690504550934
television,film,7.72,7.303300380706787,8.513288497924805
lover,quarrel,6.19,6.492453098297119,7.859297394752502
viewer,serial,2.97,5.911584377288818,8.039210438728333
possibility,girl,1.94,5.554291248321533,7.5244587659835815
population,development,3.75,6.520094871520996,8.093788623809814
morality,importance,3.31,6.5579729080200195,7.959868907928467
morality,marriage,3.69,6.360566139221191,8.001068830490112
Mexico,Brazil,7.44,5.0,8.367352485656738
gender,equality,6.41,7.710612773895264,8.508065342903137
change,attitude,5.44,7.289698600769043,8.12359482049942
family,planning,6.25,6.257228374481201,7.876604199409485
opera,industry,2.63,5.83810567855835,7.507809996604919
sugar,approach,0.88,5.286814212799072,7.589020133018494
practice,institution,3.19,6.206829071044922,7.690355181694031
ministry,culture,4.69,6.331104278564453,7.778540849685669
problem,challenge,6.75,7.092004776000977,8.580886721611023
size,prominence,5.31,5.803678035736084,7.894511520862579
country,citizen,7.31,6.392333984375,8.285459280014038
planet,people,5.75,5.804772853851318,7.872762680053711
development,issue,3.97,6.445684432983398,7.955377399921417
experience,music,3.47,6.653814792633057,7.954725027084351
music,project,3.63,6.337628364562988,8.034037351608276
glass,metal,5.56,7.338108539581299,8.238182663917542
aluminum,metal,7.83,7.741316318511963,8.901141881942749
chance,credibility,3.88,6.489145278930664,7.947813868522644
exhibit,memorabilia,5.31,6.742570400238037,8.286731243133545
concert,virtuoso,6.81,6.433300495147705,8.174391984939575
rock,jazz,7.59,7.454258918762207,8.116500079631805
museum,theater,7.19,6.9508137702941895,7.811727523803711
observation,architecture,4.38,5.739659309387207,7.896594703197479
space,world,6.53,6.376699447631836,8.066456317901611
preservation,world,6.19,5.550548553466797,7.507792711257935
admission,ticket,7.69,6.817885398864746,8.262586295604706
shower,thunderstorm,6.31,6.887508392333984,7.882367372512817
shower,flood,6.03,5.3644938468933105,8.03687572479248
weather,forecast,8.34,7.481288909912109,9.105759859085083
disaster,area,6.25,6.3062639236450195,7.6005977392196655
governor,office,6.34,7.022609710693359,7.518978714942932
architecture,century,3.78,7.103602409362793,7.757910490036011
