word1,word2,human_score,model_score,absolute_difference
psychology,psychiatry,8.08,8.135753631591797,0.055753631591796804
psychology,anxiety,7.0,6.117544651031494,0.8824553489685059
psychology,fear,6.85,5.3806328773498535,1.4693671226501461
psychology,depression,7.42,5.843997478485107,1.5760025215148925
psychology,clinic,6.58,5.99130916595459,0.5886908340454102
psychology,doctor,6.42,6.343029499053955,0.07697050094604485
psychology,Freud,8.21,5.0,3.210000000000001
psychology,mind,7.69,6.580313682556152,1.109686317443848
psychology,health,7.23,6.194268226623535,1.0357317733764653
psychology,science,6.71,7.842235088348389,1.1322350883483887
psychology,discipline,5.58,6.401439189910889,0.8214391899108886
psychology,cognition,7.48,7.206063747406006,0.27393625259399457
planet,star,8.45,6.867304801940918,1.5826951980590813
planet,constellation,8.06,6.637895584106445,1.4221044158935552
planet,moon,8.08,7.481817722320557,0.5981822776794434
planet,sun,8.02,6.890687942504883,1.1293120574951168
planet,galaxy,8.11,7.285816669464111,0.8241833305358881
planet,space,7.92,7.096609592437744,0.8233904075622558
planet,astronomer,7.94,6.435435771942139,1.5045642280578617
precedent,example,5.85,6.524834632873535,0.6748346328735355
precedent,information,3.85,5.720330238342285,1.870330238342285
precedent,cognition,2.81,5.244512557983398,2.4345125579833984
precedent,law,6.65,6.866023063659668,0.2160230636596676
precedent,collection,2.5,5.420758247375488,2.9207582473754883
precedent,group,1.77,5.086263656616211,3.316263656616211
precedent,antecedent,6.04,5.876804351806641,0.1631956481933594
cup,coffee,6.58,6.154690265655518,0.4253097343444825
cup,tableware,6.85,4.759678363800049,2.090321636199951
cup,article,2.4,5.346621513366699,2.9466215133666993
cup,artifact,2.92,4.464711666107178,1.5447116661071778
cup,object,3.69,5.00419807434082,1.3141980743408204
cup,entity,2.15,5.00408411026001,2.85408411026001
cup,drink,7.25,6.250551223754883,0.9994487762451172
cup,food,5.0,5.536351203918457,0.536351203918457
cup,substance,1.92,5.298546314239502,3.378546314239502
cup,liquid,5.9,5.864424705505371,0.03557529449462926
jaguar,cat,7.42,6.010573387145996,1.4094266128540038
jaguar,car,7.27,6.950821876525879,0.31917812347412067
energy,secretary,1.81,6.304418087005615,4.494418087005615
secretary,senate,5.06,6.755875110626221,1.695875110626221
energy,laboratory,5.09,6.277737617492676,1.187737617492676
computer,laboratory,6.78,6.860307693481445,0.08030769348144506
weapon,secret,6.06,6.690661430358887,0.6306614303588871
FBI,fingerprint,6.94,5.0,1.9400000000000004
FBI,investigation,8.31,5.0,3.3100000000000005
investigation,effort,4.59,6.903432846069336,2.313432846069336
Mars,water,2.94,5.0,2.06
Mars,scientist,5.63,5.0,0.6299999999999999
news,report,8.16,7.67506742477417,0.4849325752258302
canyon,landscape,7.53,5.937591552734375,1.5924084472656252
image,surface,4.56,6.144749164581299,1.5847491645812992
discovery,space,6.34,7.283721446990967,0.9437214469909669
water,seepage,6.56,6.591220855712891,0.031220855712891016
sign,recess,2.38,5.46075439453125,3.08075439453125
Wednesday,news,2.22,5.0,2.78
mile,kilometer,8.66,8.829572677612305,0.16957267761230455
computer,news,4.47,6.148500919342041,1.6785009193420413
territory,surface,5.34,5.957802772521973,0.6178027725219728
atmosphere,landscape,3.69,6.364325523376465,2.674325523376465
president,medal,3.0,5.803254127502441,2.8032541275024414
war,troops,8.13,7.571126937866211,0.5588730621337898
record,number,6.31,6.680095672607422,0.37009567260742227
skin,eye,6.22,7.440837860107422,1.2208378601074221
Japanese,American,6.5,5.0,1.5
theater,history,3.91,6.410854816436768,2.5008548164367674
volunteer,motto,2.56,6.1098103523254395,3.5498103523254394
prejudice,recognition,3.0,5.689821720123291,2.689821720123291
decoration,valor,5.63,7.239138603210449,1.6091386032104493
century,year,7.59,6.651656150817871,0.9383438491821288
century,nation,3.16,6.5697503089904785,3.4097503089904784
delay,racism,1.19,5.435358047485352,4.245358047485352
delay,news,3.31,6.008519649505615,2.698519649505615
minister,party,6.63,7.033761024475098,0.40376102447509776
peace,plan,4.75,7.136683464050293,2.386683464050293
minority,peace,3.69,6.0140204429626465,2.3240204429626465
attempt,peace,4.25,6.464810371398926,2.214810371398926
government,crisis,6.56,7.2214508056640625,0.6614508056640629
deployment,departure,4.25,6.651980876922607,2.4019808769226074
deployment,withdrawal,5.88,7.7735137939453125,1.8935137939453126
energy,crisis,5.94,6.709228038787842,0.7692280387878414
announcement,news,7.56,7.380003929138184,0.17999607086181602
announcement,effort,2.75,6.615530490875244,3.865530490875244
stroke,hospital,7.03,6.457651615142822,0.572348384857178
disability,death,5.47,6.235991477966309,0.7659914779663088
victim,emergency,6.47,6.006340980529785,0.4636590194702146
treatment,recovery,7.91,6.412384510040283,1.497615489959717
journal,association,4.97,6.60205078125,1.6320507812500002
doctor,personnel,5.0,5.809796333312988,0.8097963333129883
doctor,liability,5.19,5.3774847984313965,0.1874847984313961
liability,insurance,7.03,7.670296669006348,0.6402966690063474
school,center,3.44,6.666550636291504,3.226550636291504
reason,hypertension,2.31,5.383087158203125,3.073087158203125
reason,criterion,5.91,5.882918834686279,0.027081165313720845
hundred,percent,7.38,5.93566370010376,1.4443362998962401
Harvard,Yale,8.13,5.0,3.130000000000001
hospital,infrastructure,4.63,5.522768020629883,0.8927680206298829
death,row,5.25,6.390228748321533,1.1402287483215332
death,inmate,5.03,7.067391395568848,2.0373913955688474
lawyer,evidence,6.69,6.429903030395508,0.2600969696044926
life,death,7.88,7.616160869598389,0.2638391304016112
life,term,4.5,6.846603870391846,2.3466038703918457
word,similarity,4.75,6.236804962158203,1.4868049621582031
board,recommendation,4.47,7.12779426574707,2.6577942657470706
governor,interview,3.25,6.346447467803955,3.096447467803955
OPEC,country,5.63,5.0,0.6299999999999999
peace,atmosphere,3.69,6.204531192779541,2.514531192779541
peace,insurance,2.94,5.492537498474121,2.552537498474121
territory,kilometer,5.28,6.46175479888916,1.18175479888916
travel,activity,5.0,6.499286651611328,1.4992866516113281
competition,price,6.44,6.627678394317627,0.18767839431762656
consumer,confidence,4.13,7.270686149597168,3.140686149597168
consumer,energy,4.75,6.996090888977051,2.246090888977051
problem,airport,2.38,5.964806079864502,3.584806079864502
car,flight,4.94,6.055834770202637,1.1158347702026363
credit,card,8.06,7.879695892333984,0.18030410766601612
credit,information,5.31,6.546712875366211,1.2367128753662113
hotel,reservation,8.03,6.488439559936523,1.541560440063476
grocery,money,5.94,5.972408294677734,0.032408294677733984
registration,arrangement,6.0,5.78997802734375,0.21002197265625
arrangement,accommodation,5.41,6.569788932800293,1.1597889328002928
month,hotel,1.81,6.387018203735352,4.577018203735351
type,kind,8.97,7.919502258300781,1.0504977416992194
arrival,hotel,6.0,6.414475917816162,0.4144759178161621
bed,closet,6.72,7.00269079208374,0.2826907920837405
closet,clothes,8.0,7.025312423706055,0.9746875762939453
situation,conclusion,4.81,6.651356220245361,1.8413562202453617
situation,isolation,3.88,6.529848575592041,2.649848575592041
impartiality,interest,5.16,5.291862964630127,0.1318629646301268
direction,combination,2.25,6.119917392730713,3.869917392730713
street,place,6.44,6.680898666381836,0.24089866638183555
street,avenue,8.88,8.154581069946289,0.7254189300537117
street,block,6.88,6.737318515777588,0.142681484222412
street,children,4.94,6.113380432128906,1.1733804321289059
listing,proximity,2.56,5.354382514953613,2.7943825149536132
listing,category,6.38,6.396518707275391,0.01651870727539073
cell,phone,7.81,7.702348232269287,0.1076517677307125
production,hike,1.75,5.874976634979248,4.124976634979248
benchmark,index,4.25,8.32932186126709,4.07932186126709
media,trading,3.88,5.964405536651611,2.0844055366516114
media,gain,2.88,6.324868202209473,3.4448682022094728
dividend,payment,7.63,7.350770473480225,0.2792295265197753
dividend,calculation,6.48,5.960254192352295,0.5197458076477055
calculation,computation,8.44,7.583193778991699,0.8568062210083003
currency,market,7.5,7.571125030517578,0.07112503051757812
OPEC,oil,8.59,5.0,3.59
oil,stock,6.34,6.709144592285156,0.3691445922851564
announcement,production,3.38,6.004263401031494,2.6242634010314942
announcement,warning,6.0,7.119062423706055,1.1190624237060547
profit,warning,3.88,6.351561546325684,2.4715615463256837
profit,loss,7.63,7.337728500366211,0.29227149963378896
dollar,yen,7.78,8.20048713684082,0.42048713684082006
dollar,buck,9.22,5.656537055969238,3.5634629440307624
dollar,profit,7.38,6.984226703643799,0.39577329635620107
dollar,loss,6.09,6.343965530395508,0.25396553039550795
computer,software,8.5,8.66720962524414,0.16720962524414062
network,hardware,8.31,6.452254295349121,1.8577457046508794
phone,equipment,7.13,6.781822681427002,0.34817731857299794
equipment,maker,5.91,7.279210090637207,1.369210090637207
luxury,car,6.47,7.360357761383057,0.8903577613830569
five,month,3.38,8.09355354309082,4.71355354309082
report,gain,3.63,6.308640480041504,2.678640480041504
investor,earning,7.13,5.648016929626465,1.481983070373535
liquid,water,7.89,7.346231460571289,0.5437685394287106
baseball,season,5.97,7.169576644897461,1.1995766448974612
game,victory,7.03,7.121058464050293,0.09105846405029272
game,team,7.69,7.624352931976318,0.06564706802368203
marathon,sprint,7.47,6.924037933349609,0.5459620666503904
game,series,6.19,7.271566867828369,1.0815668678283687
game,defeat,6.97,6.8361921310424805,0.13380786895751928
seven,series,3.56,7.0481858253479,3.4881858253479003
seafood,sea,7.47,6.205456733703613,1.2645432662963865
seafood,food,8.34,7.406192302703857,0.9338076972961424
seafood,lobster,8.7,7.986447811126709,0.7135521888732903
lobster,food,7.81,6.1639204025268555,1.6460795974731441
lobster,wine,5.7,6.442794322967529,0.7427943229675291
food,preparation,6.22,6.570235252380371,0.35023525238037134
video,archive,6.34,6.730324745178223,0.3903247451782228
start,year,4.06,7.895923614501953,3.8359236145019535
start,match,4.47,7.040886878967285,2.5708868789672854
game,round,5.97,6.982489585876465,1.012489585876465
boxing,round,7.61,6.2999444007873535,1.3100555992126468
championship,tournament,8.36,8.588248252868652,0.2282482528686529
fighting,defeating,7.41,6.339784145355225,1.0702158546447755
line,insurance,2.69,5.893980026245117,3.2039800262451172
day,summer,3.94,7.375685691833496,3.435685691833496
summer,drought,7.16,6.6222639083862305,0.5377360916137697
summer,nature,5.63,5.985176086425781,0.35517608642578136
day,dawn,7.53,6.943371772766113,0.586628227233887
nature,environment,8.31,7.304759502410889,1.0052404975891118
environment,ecology,8.81,7.636714935302734,1.1732850646972661
nature,man,6.25,6.689780235290527,0.43978023529052734
man,woman,8.3,8.499332427978516,0.19933242797851491
man,governor,5.25,6.265497207641602,1.0154972076416016
murder,manslaughter,8.53,7.87066125869751,0.6593387413024896
soap,opera,7.94,7.346331596374512,0.5936684036254887
opera,performance,6.88,6.950854778289795,0.07085477828979503
life,lesson,5.94,6.368736267089844,0.42873626708984336
focus,life,4.06,6.879801273345947,2.8198012733459477
production,crew,6.25,5.958957195281982,0.2910428047180176
television,film,7.72,7.303300380706787,0.41669961929321264
lover,quarrel,6.19,6.492453098297119,0.30245309829711875
viewer,serial,2.97,5.911584377288818,2.941584377288818
possibility,girl,1.94,5.554291248321533,3.6142912483215333
population,development,3.75,6.520094871520996,2.770094871520996
morality,importance,3.31,6.5579729080200195,3.2479729080200195
morality,marriage,3.69,6.360566139221191,2.6705661392211915
Mexico,Brazil,7.44,5.0,2.4400000000000004
gender,equality,6.41,7.710612773895264,1.3006127738952635
change,attitude,5.44,7.289698600769043,1.8496986007690426
family,planning,6.25,6.257228374481201,0.007228374481201172
opera,industry,2.63,5.83810567855835,3.2081056785583497
sugar,approach,0.88,5.286814212799072,4.406814212799072
practice,institution,3.19,6.206829071044922,3.016829071044922
ministry,culture,4.69,6.331104278564453,1.6411042785644527
problem,challenge,6.75,7.092004776000977,0.34200477600097656
size,prominence,5.31,5.803678035736084,0.4936780357360844
country,citizen,7.31,6.392333984375,0.9176660156249996
planet,people,5.75,5.804772853851318,0.05477285385131836
development,issue,3.97,6.445684432983398,2.4756844329833982
experience,music,3.47,6.653814792633057,3.1838147926330564
music,project,3.63,6.337628364562988,2.7076283645629884
glass,metal,5.56,7.338108539581299,1.7781085395812992
aluminum,metal,7.83,7.741316318511963,0.08868368148803718
chance,credibility,3.88,6.489145278930664,2.609145278930664
exhibit,memorabilia,5.31,6.742570400238037,1.4325704002380375
concert,virtuoso,6.81,6.433300495147705,0.37669950485229453
rock,jazz,7.59,7.454258918762207,0.13574108123779283
museum,theater,7.19,6.9508137702941895,0.23918622970581094
observation,architecture,4.38,5.739659309387207,1.3596593093872071
space,world,6.53,6.376699447631836,0.1533005523681643
preservation,world,6.19,5.550548553466797,0.6394514465332035
admission,ticket,7.69,6.817885398864746,0.8721146011352543
shower,thunderstorm,6.31,6.887508392333984,0.5775083923339848
shower,flood,6.03,5.3644938468933105,0.6655061531066897
weather,forecast,8.34,7.481288909912109,0.8587110900878905
disaster,area,6.25,6.3062639236450195,0.05626392364501953
governor,office,6.34,7.022609710693359,0.6826097106933595
architecture,century,3.78,7.103602409362793,3.323602409362793
